snapped_at,price,market_cap,total_volume,log_returns
2013-09-28 00:00:00+00:00,133.93,1575663012.0,0.0,0.015728209237869207
2013-09-29 00:00:00+00:00,140.28,1650965841.0,0.0,0.04632314987294652
2013-09-30 00:00:00+00:00,131.65,1549941780.0,0.0,-0.0634935393296589
2013-10-01 00:00:00+00:00,132.55,1561200410.0,0.0,0.006813046792716104
2013-10-02 00:00:00+00:00,132.04,1555751397.0,0.0,-0.0038550257500424407
2013-10-03 00:00:00+00:00,123.07,1450746083.0,0.0,-0.07035160780074691
2013-10-04 00:00:00+00:00,128.26,1512486811.0,0.0,0.04130615453647158
2013-10-05 00:00:00+00:00,129.57,1528611793.0,0.0,0.01016182192000263
2013-10-06 00:00:00+00:00,127.56,1505549223.0,0.0,-0.01563443349886246
2013-10-07 00:00:00+00:00,128.38,1515724889.0,0.0,0.006407773741775151
2013-10-08 00:00:00+00:00,125.72,1484816060.0,0.0,-0.020937403954265202
2013-10-09 00:00:00+00:00,130.9,1546580228.0,0.0,0.04037646098648755
2013-10-10 00:00:00+00:00,129.68,1532820842.0,0.0,-0.009363795488433559
2013-10-11 00:00:00+00:00,130.27,1540367845.0,0.0,0.004539342282052009
2013-10-12 00:00:00+00:00,135.35,1601082220.0,0.0,0.038254796350837283
2013-10-13 00:00:00+00:00,135.48,1603402413.0,0.0,0.0009600118892607189
2013-10-14 00:00:00+00:00,140.48,1663458800.0,0.0,0.03624110193723556
2013-10-15 00:00:00+00:00,143.89,1704751164.0,0.0,0.02398398888851958
2013-10-16 00:00:00+00:00,143.61,1702245233.0,0.0,-0.001947826702798655
2013-10-17 00:00:00+00:00,146.15,1732995548.0,0.0,0.017532199484727572
2013-10-18 00:00:00+00:00,151.34,1795176162.0,0.0,0.034895469709120615
2013-10-19 00:00:00+00:00,170.51,2023531688.0,0.0,0.11926498476368469
2013-10-20 00:00:00+00:00,172.01,2042261829.0,0.0,0.008758668628239251
2013-10-21 00:00:00+00:00,181.41,2154778910.0,0.0,0.05320704829493183
2013-10-22 00:00:00+00:00,193.45,2298993654.0,0.0,0.06425941819329067
2013-10-23 00:00:00+00:00,206.78,2458505640.0,0.0,0.06663634501202517
2013-10-24 00:00:00+00:00,198.8,2364666360.0,0.0,-0.03935613193607335
2013-10-25 00:00:00+00:00,172.48,2052637048.0,0.0,-0.14201800650184138
